,No,Tanggal,Keterangan JKB,Sumber Informasi,Waktu Informasi,Alamat Kejadian, RT , RW ,Kelurahan,Kecamatan,Wilayah,Objek Kejadian Awal,Kode Objek Bencana,Kategori Objek Bencana,Objek Kejadian Lainnya,Kode Objek Bencana Lainnya,Kategori Objek Bencana Lainnya,ID Bang,Jenis Bangunan,ID Sebab,Sebab Kejadian,Keterangan Sebab Kejadian,Waktu Respon,Menit Respon,JUMLAH UNIT,JUMLAH SDM,Lama Operasi -  Hari,Lama Operasi - Jam,Lama Operasi -  Menit,Luas Area Kejadian,Petugas Mati,Petugas  Luka,Masyarakat Mati,Masyarakat Luka,Objek BP,Objek BUP,Objek BI,Objek KD,Objek LN,Jumlah KK,Jumlah Jiwa, Taksiran Kerugian ,Kronologis Kejadian,Keterangan
,370,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Perum GreenVille Blok U no 10,-,-,Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,1,5,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,371,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Perum GreenVille Blok W No 10,-,-,Duri Kepa,Kebun Jeruk, Kota Administrasi Jakarta Barat,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,1,5,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,372,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Perum Taman Cosmos Blok L No.25,,,Kedoya Utara,Kebun Jeruk, Kota Administrasi Jakarta Barat,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,1,5,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,7, - ,Evakuasi Korban Banjir,Evakuasi 4 Balita Dan 3 Dewasa
,373,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Perumahan kapuk mas,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,4,24,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,9, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,374,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit dalam II No 14,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,4,24,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,13, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,375,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit permai No 2,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,4,24,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,15, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,376,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Samudera Raya No 9, 10 , 5 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,4,24,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,7, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,377,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Teluk Gong JalanK blok A No 8,,,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,4,24,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,14, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,378,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Teluk Gong Jl. 20 , 4 , 8 ,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,4,24,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,19, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,379,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Teluk Gong Raya No 335,,,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,4,24,"-41,287",9,-59453280,, - , - , - , - , - , - , - , - , 1 ,0,12, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,380,18/Januari/2013  (Jumat),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Teluk Gong Taman Permata Indah II,,,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,4,24,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,16, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,381,19/Januari/2013  (Sabtu),Bencana Kebakaran,Masyarakat,00:05,Jl. Bahari Sunter Agung, 11 , 1 ,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Konsleting Listrik,00:10,00:05,4,20,0,0,55,6, - , - , - , - , 1 , - , - , - , - ,0,0," 700,000 ",Diduga hubungan arus pendek listrik pada stop kontak menimbulkan percikan api dan panas sehingga terbakar,
,382,19/Januari/2013  (Sabtu),Bencana Kebakaran,Masyarakat,09:20,Jl. J. Teluk Gong,,,Pejagalan,Penjaringan, Kota Administrasi Jakarta Utara,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LN,Lain,Lilin,09:25,00:05,1,5,0,0,25,30, - , - , - , - , 1 , - , - , - , - ,1,3," 10,000,000 ","Lilin jatuh mengenai kasur, api membesar sebagian rumah tinggal terbakar",
,383,19/Januari/2013  (Sabtu),Bencana Kebakaran,Masyarakat,21:25,Jl. Jelambar Barat Blok 26, 12 , 11 ,Jelambar,Grogol Petamburan, Kota Administrasi Jakarta Barat,Genset,LN,Lain-Lain,,,,,,LS,Listrik,Konsleting Listrik,21:40,00:15,6,30,0,0,35,6, - , - , - , - , - , - , - , - , 1 ,0,0," 15,000,000 ",Percikan api pada genset menyambar tangki solar sehingga genset terbakar,
,384,19/Januari/2013  (Sabtu),Bencana Kebakaran,Masyarakat,11:00,Jl. Jembatan Besi Raya, 13 , 9 ,Jembatan Besi,Tambora, Kota Administrasi Jakarta Barat,Rumah Tinggal,BP,Bangunan Perumahan,,,,,,LS,Listrik,Konsleting Listrik,11:10,00:10,10,52,0,0,15,3, - , - , - , - , 1 , - , - , - , - ,0,0," 15,000,000 ",Hubungan singkat pada mesin pemanas air timbul api sehingga sebagian rumah tinggal terbakar,
,385,19/Januari/2013  (Sabtu),Bencana Kebakaran,Masyarakat,11:01,Jl. Podok Jaya II, 2 , 6 ,Pela Mampang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,Rumah Tinggal,BP,Bangunan Perumahan,Mobil & Motor,KD,Kendaraan,BR,Bangunan Rendah,LN,Lain,LS,11:07,00:06,16,80,0,1,8,440, - , - , - , - , 3 , - , - , 2 , - ,5,12," 500,000,000 ","Hubungan singkat di atas plafon, api membesar sehingga 3 bangunan rumah tinggal, mobil dan motor terbakar",
,386,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00, Jl. K Teluk Gong,, 7 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,26,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,6, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,387,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Jl. Bangun Nusa,004,015,Kapuk,Cengkareng, Kota Administrasi Jakarta Barat,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,1,5,0,9,0,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Evakuasi Korban Banjir,Evakuasi Mayat
,388,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,06:50,Jl. Muara Karang,,,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Banjir,LN,Lain-Lain,,,,,,LN,Lain,Banjir,07:35,00:45,3,15,0,14,40,, - , - , - , - , - , - , - , - , 1 ,0,350, - ,Hujan deras dan sungai meluap sehingga terjadi banjir,
,389,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:35,Jl. Pluit Mas,4 s/d 6, 8 ,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Banjir,LN,Lain-Lain,,,,,,LN,Lain,Banjir,09:50,00:15,1,5,0,11,55,, - , - , - , - , - , - , - , - , 1 ,0,67, - ,Hujan deras dan sungai meluap sehingga terjadi banjir,
,390,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,06:50,Jl. Pluit Raya,,,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Banjir,LN,Lain-Lain,,,,,,LN,Lain,Banjir,07:35,00:45,3,20,0,14,40,, - , - , - , - , - , - , - , - , 1 ,0,200, - ,Hujan deras dan sungai meluap sehingga terjadi banjir,
,391,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Jl. Raya Teluk Gong, 5 , 9 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,26,0,11,30,, - , - , - , - , - , - , - , - , 1 ,0,4, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,392,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Luar Batang, 5 , 10 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,26,0,11,30,, - , - , - , - , - , - , - , - , 1 ,0,5, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,393,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Muara Baru, 4 , 9 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,26,0,11,30,, - , - , - , - , - , - , - , - , 1 ,0,3, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,394,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Muara Baru, 1 , 7 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,26,0,11,30,, - , - , - , - , - , - , - , - , 1 ,0,12, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,395,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Muara Baru, 9 , 3 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,26,0,11,30,, - , - , - , - , - , - , - , - , 1 ,0,5, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,396,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Kencana Raya, 11 ,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,26,0,11,30,, - , - , - , - , - , - , - , - , 1 ,0,7, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,397,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Timur ,, 7 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,26,0,11,30,, - , - , - , - , - , - , - , - , 1 ,0,4, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,398,19/Januari/2013  (Sabtu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit utara raya,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,26,0,11,30,, - , - , - , - , - , - , - , - , 1 ,0,8, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,399,20/Januari/2013  (Minggu),Bencana Kebakaran,Masyarakat,18:30,"Jl. Kota Bambu Utara II, Gg. Harlan", 4 , 3 ,Kota Bambu Utara,Palmerah, Kota Administrasi Jakarta Barat,Kios,BU,Bangunan Umum dan Perdagangan,,,,,,LS,Listrik,Arus Pendek,18:35,00:05,23,115,1,2,1470,150, - , - , - , - , - , 12 , - , - , - ,0,0," 500,000,000 ","Diduga terjadi arus pendek pada genset yang berbahan bakar bensin, kemudian membakar bahan yang mudah terbakar yang ada di sekitar nya dan api membesar.",
,400,20/Januari/2013  (Minggu),Bencana Kebakaran,Masyarakat,19:15,Jl. Rasuna Said,,,Kuningan Timur,Setiabudi, Kota Administrasi Jakarta Selatan,Mobil,KD,Kendaraan,,,,,,LS,Listrik,Arus Pendek,19:20,00:05,1,6,0,0,25,, - , - , - , - , - , - , - , 1 , - ,0,0," 75,000,000 ","Diduga akibat arus pendek yang terjadi pada mesin mobil, sehingga membakar mobil tersebut.",
,401,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00," Jl, K, Teluk Gong",, 8 ,Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,11,30,, - , - , - , - , - , - , - , - , 1 ,0,3, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,402,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Area Pluit,,,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,10,50,0,12,0,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,"Evakuasi banjir dari pluit timur dan pluit permai ke mall pluit (11 orang). Mengantar kan logistik dari pos pluit rawa bunga, pri kencana, pluit utara raya dan sekitar area pluit.",
,403,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Gg. Burung, 2 , 2 ,Tambora,Tambora, Kota Administrasi Jakarta Barat,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,1,5,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Lansia sakit 80 Th
,404,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Jl. Japat RT 1/1, 1 , 1 ,Pademangan Barat,Pademangan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,2, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,405,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Jl. Jelambar Utama 7, 6 , 4 ,Jelambar Baru,Grogol Petamburan, Kota Administrasi Jakarta Barat,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,1,5,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,406,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,08:50,Jl. Komp. Zeni AD & Bina Marga, 4 & 7 , 3 ,Rawajati,Pancoran, Kota Administrasi Jakarta Selatan,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:00,00:10,2,8,0,10,9,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,407,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Jl. Muara Baru Ujung, 20 , 17 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,5, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,408,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Jl. Mustika Dalam No.3, 7 , 14 ,Kedaung Kali Angke,Cengkareng, Kota Administrasi Jakarta Barat,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,1,5,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,"Balita 1,5 Th"
,409,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Jl. Raya Teluk Gong , 6 , 7 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,2, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,410,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Muara Baru,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,8, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,411,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pekojan SMK 59, 5 , 1 ,Pekojan,Tambora, Kota Administrasi Jakarta Barat,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,1,5,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Lansia sakit 90 Th
,412,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Kencana,,,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,413,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Kencana Raya, 6 ,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,414,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit kencana raya,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,4, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,415,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit raya,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,2, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,416,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Timur,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,417,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Timur,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,418,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Timur,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,419,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Timur,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,420,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Timur,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,421,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit Timur ,, 4 ,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,422,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit utara raya,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,423,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Pluit utara raya,,,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,2, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,424,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Plut permai 1,,,penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,425,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Plut permai 3,,,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,426,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Puri Kencana 4,,,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,5,28,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,2, - ,Evakuasi Korban Banjir,Evakuasi Keluarga
,427,20/Januari/2013  (Minggu),Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,09:00,Tambora 5 Kp. Amsiong,,,Tambora,Tambora, Kota Administrasi Jakarta Barat,Evakuasi Korban Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,09:10,00:10,1,5,0,10,0,, - , - , - , - , - , - , - , - , 1 ,0,1, - ,Evakuasi Korban Banjir,PasienOperasi 70 Th
,428,21/Januari/2013  (Senin),Bencana Kebakaran,Masyarakat,19:35,Jl. Kota Bambu Utara 3, 2 , 2 ,Kota Bambu Utara,Palmerah, Kota Administrasi Jakarta Barat,Motor Terbakar,KD,Kendaraan,,,,,,LS,Listrik,Konsleting Accu,19:40,00:05,0,0,0,0,5,, - , - , - , - , - , - , - , 1 , - ,0,0," 15,000,000 ","Diduga adanya konsleting pada kabel accu, menimbulkan percikan api dan menyambar carburator hingga terbakar","Unit Tidak Berangkat, Sudah Teratasi Oleh Anggota Balakar"
