no,tanggal,keterangan_jkb,sumber_informasi,waktu_informasi,alamat_kejadian,rt,rw,kelurahan,kecamatan,wilayah,objek_kejadian_awal,kode_objek_bencana,kategori_objek_bencana,objek_kejadian_lainnya,kode_objek_bencana_lainnya,kategori_objek_bencana_lainnya,id_bangunan,jenis_bangunan,id_sebab,sebab_kejadian,keterangan_sebab_kejadian,waktu_respon,menit_respon,jumlah_unit,jumlah_sdm,lama_operasi_hari,lama_operasi_jam,lama_operasi_menit,luas_area_kejadian,petugas_mati,petugas_luka,masyarakat_mati,masyarakat_luka,objek_bp,objek_bup,objek_bi,objek_kd,objek_ln,jumlah_kk,jumlah_jiwa,taksiran_kerugian,kronologis_kejadian,keterangan
12,1/6/2013,Bencana Kebakaran,Masyarakat,19:00,Jl. Mandala 5,6 - 7,2,Cililitan,Kramat Jati,Jakarta Timur,Rumah Tinggal,BP,Bangunan Perumahan,,BP,Bangunan Perumahan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,19:11,11,22,110,0,2,30,600,0,0,0,0,20,-,-,-,-,30,120,900000000,Diduga dari terjadinya arus pendek diatas plapon sehingga terjadi kebakaran,
13,1/6/2013,Bencana Kebakaran,Masyarakat,19:00,Jl. Rasuna Said Kav. 6 - 7,,,Setiabudi,Setiabudi,Jakarta Selatan,Gedung,BU,Bangunan Umum dan Perdagangan,,,,BT,Bangunan Tinggi,LS,Listrik,Arus Pendek Listrik,19:05,5,24,120,0,3,0,lantai 1 - 6,0,0,0,6,-,-,-,-,-,0,0,2000000000,"Diduga dari terjadinya hubungan arus pendek Listrik, di ruangan arsip dan menimbulkan percikan api sehingga membesar.",
14,1/7/2013,Bencana Kebakaran,Masyarakat,19:11,Jl. Pasar Hipli Semanan,3,7,Semanan,Kalideres,Jakarta Barat,Warung,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,19:15,4,2,10,0,0,14,0.5,0,0,0,0,-,1,-,-,-,0,0,1000000,Diduga dari terjadinya hubungan arus pendek Listrik pada mesin pendingin( Frezer) sehingga menimbulkan percikan api sehingga membesar.,
15,1/8/2013,Bencana Kebakaran,Masyarakat,11:00,Jl. Gatot Subroto No. 173,,,Menteng Dalam,Tebet,Jakarta Selatan,Filter Air,BU,Bangunan Umum dan Perdagangan,,,,BT,Bangunan Tinggi,LN,Lain,Percikan Las,11:06,6,10,50,0,0,30,9,0,0,0,0,-,-,-,-,1,0,0,10000000,Diduga akibat percikan las yang menyambar filter air kemudian membakar filter air tersebut.,
16,1/8/2013,Bencana Kebakaran,Masyarakat,17:30,Jl. Mandar XXI DD 12 No. 52,8,10,Tangerang,Tangerang,Kota Tangerang,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,17:40,10,1,5,0,2,21,130 (2 Lantai),0,0,0,0,1,-,-,-,-,1,2,250000000,"Diduga akibat arus pendek pada stop kontak, kemudian membakar bahan yang mudah terbakar sehingga membakar rumah berlantai 2 tersebut.",
17,1/8/2013,Bencana Kebakaran,Petugas Pemadam,8:30,Jl. Pangeran Jayakarta,1,6,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,Pompa Air,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LN,Lain,Arus Pendek Listrik,8:34,4,6,47,0,0,30,6,0,0,0,0,-,-,-,-,1,0,0,25000000,Diduga akibat pompa air (arus pendek) kemudian menyebabkan kebakaran.,
18,1/8/2013,Bencana Kebakaran,Masyarakat,20:30,"Jl. Pasar Baru Raya No. 52-56,58 dan 006",,,Pasar Baru,Sawah Besar,Jakarta Pusat,Bangunan Pertokoan,BU,Bangunan Umum dan Perdagangan,,,,BM,Bangunan Menengah,LS,Listrik,Arus Pendek Listrik,20:34,4,42,152,0,7,45,"9,600",0,0,0,0,-,3,-,-,-,0,0,3500000000,"Diduga akibat arus pendek yang terjadi didalam toko sepatu, sehingga mengakibatkan kebakaran.",
19,1/9/2013,Bencana Kebakaran,Masyarakat,16:20,Jl. AMD. Manunggal,6,2,Makasar,Makasar,Jakarta Timur,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,16:25,5,2,10,0,0,25,25,0,0,0,0,1,-,-,-,-,1,5,25000000,Diduga dari hubungan arus pendek listrik pada kipas gantung menimbulkan percikan api dan membesar.,
20,1/9/2013,Bencana Kebakaran,Masyarakat,20:25,Jl. Mangga Dua Raya No. 8,,,Pademangan Barat,Pademangan,Jakarta Utara,Gedung WTC Mangga Dua,BU,Bangunan Umum dan Perdagangan,,,,BT,Bangunan Tinggi,LS,Listrik,Arus Pendek Listrik,20:30,5,8,40,0,2,5,80,0,0,0,0,-,1,-,-,-,0,0,100000000,Diduga Dari hubungan singkat arus pendek pada mesin Henter menimbulkan percikan api dan menyambar bahan yang mudah terbakar,
21,1/9/2013,Bencana Kebakaran,Masyarakat,12:38,Jl. Raya Poncol No. 100,,,Ciracas,Ciracas,Jakarta Timur,Percetakan,BU,Bangunan Umum dan Perdagangan,,,,BM,Bangunan Menengah,LS,Listrik,Arus Pendek Listrik,12:43,5,1,5,0,1,12,9,0,0,0,0,-,1,-,-,-,0,0,30000000,Diduga Dari hubungan arus pendek listrik sehingga terjadi kebakaran,
22,1/9/2013,Bencana Kebakaran,Masyarakat,20:35,Jl. Sawo Kecil,5,8,Pulo Gebang,Cakung,Jakarta Timur,Kabel Tiang Listrik,LN,Lain-Lain,,,,,,LS,Listrik,Arus Pendek Listrik,20:40,5,1,5,0,0,40,2,0,0,0,0,-,-,-,-,1,0,0,200000,Diduga Dari hubungan singkat arus pendek pada kabel tiang listrik menimbulkan percika api sehingga terbakar,
23,1/9/2013,Bencana Kebakaran,Masyarakat,1:50,Jl. Tanggul Barat Cengkareng Drain,19,12,Kapuk,Cengkareng,Jakarta Barat,Lapak Pemulung,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,1:55,5,22,110,0,1,55,875,0,0,0,0,-,1,-,-,-,20,60,650000000,"Diduga akibat arus pendek pada installasi listrik atap rumah (Fong), kemudian menyambar teriplek dan menimbulkan kebakaran.",
24,1/9/2013,Bencana Kebakaran,Masyarakat,20:10,Jl. Utan Kayu Utara,,,Utan Kayu Utara,Matraman,Jakarta Timur,Kantin Kampus,BU,Bangunan Umum dan Perdagangan,,,,BM,Bangunan Menengah,LN,Lain,Rokok,20:17,7,6,30,0,0,20,24,0,0,0,0,-,1,-,-,-,0,0,500000,Diduga dari orang membuang putung rokok mengenai bahan yang mudah terbakar sehingga membesar,
25,1/10/2013,Bencana Kebakaran,Masyarakat,14:50,Jl. Kedoya Raya,,,Kedoya Selatan,Kebun Jeruk,Jakarta Barat,Mobil Carry,KD,Kendaraan,,,,,,LS,Listrik,Arus Pendek Listrik,14:55,5,1,5,0,0,40,,0,0,0,0,-,-,-,1,-,0,0,50000000,"Hubungan singkat pada selang karburator, timbul api sehingga mobil terbakar",
26,1/10/2013,Bencana Kebakaran,Masyarakat,13:45,Jl. Rahayu Raya,5,3,Kalisari,Pasar Rebo,Jakarta Timur,Ruko,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,13:52,7,12,60,0,0,45,50,0,0,0,0,-,1,-,-,-,1,5,100000000,"Hubungan singkat pada plafon, timbul api sehingga menyambar tumpukan gas dan gas meledak lalu terjadi kebakaran",
27,1/10/2013,Bencana Kebakaran,Masyarakat,15:10,Jl. Sunter Agung Blok. A,,,Sunter Agung,Tanjung Priok,Jakarta Utara,Bedeng,BP,Bangunan Perumahan,Motor,KD,Kendaraan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,15:20,10,5,25,0,0,30,15,0,0,0,0,2,-,-,2,-,0,0,30000000,"Hubungan singkat pada kabel dispenser timbul api, menyambar dinding triplek sehingga 2 bedeng dan 2 motor terbakar",
28,1/10/2013,Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,13:15,Jl. Aida Suwarno,5,8,Pulo Gebang,Cakung,Jakarta Timur,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,13:20,5,1,5,0,0,20,,0,0,0,0,-,-,-,-,1,0,0,NA,Angin Kencang menyebabkan pohon tumbang,
29,1/10/2013,Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,11:00,Jl. Asem II   No.96,13,2,Cipete Selatan,Cilandak,Jakarta Selatan,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,11:05,5,4,20,0,1,15,,0,0,0,0,-,-,-,-,1,0,0,NA,Angin Kencang menyebabkan pohon tumbang,Menimpa rumah warga dan mobil
30,1/10/2013,Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:05,Jl. Asrama Pemadam,,,Semper Barat,Cilincing,Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,14:10,5,1,5,0,0,45,,0,0,0,0,-,-,-,-,1,0,0,NA,Angin Kencang menyebabkan pohon tumbang,
31,1/10/2013,Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,19:57,Jl. Benda Raya,10,4,Cilandak Timur,Pasar Minggu,Jakarta Selatan,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,20:05,8,2,10,0,1,53,,0,0,0,0,-,-,-,-,1,0,0,NA,Angin Kencang menyebabkan pohon tumbang,
32,1/10/2013,Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,15:00,Jl. Danau Sunter Utara,,,Sunter Agung,Tanjung Priok,Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,15:10,10,1,5,0,0,30,,0,0,0,0,-,-,-,-,1,0,0,NA,Angin Kencang menyebabkan pohon tumbang,
