nama_pos_pemadam,kotamadya,kecamatan,kelurahan,rt,rw,kodepos,alamat,personil_group_a,personil_group_b,personil_group_c,kendaraan,latitude,longitude
Kantor Sektor Pasar Minggu,Jakarta Selatan,Pasar Minggu,Pasar Minggu,,,12520,Jl. Salihara,10,11,10,5,-6.2830271,106.8431624
Pos Fatmawati,Jakarta Selatan,Cilandak,Cilandak Barat,,,12430,Jl. RS. Fatmawati No. 113,5,5,5,1,-6.2799425,106.7967047
Pos Pejaten,Jakarta Selatan,Pasar Minggu,Pejaten Barat,,,12510,Jl. Pejaten Raya,4,5,5,1,-6.2794454,106.8369803
Kantor Sektor Pesanggrahan,Jakarta Selatan,Kebayoran Baru,Cipete Utara,,,12150,Jl. Haji Saidi,7,6,6,3,-6.2659119,106.8042902
Pos Walikota,Jakarta Selatan,Kebayoran Baru,Cipete Utara,,,12150,Jl. Prapanca Raya,5,4,5,2,-6.2634546,106.8083075
Pos Kalibata,Jakarta Selatan,Pancoran,Rawa Jati,,,12750,Jl. Dpr Raya Blok A-1 No.16,6,6,6,2,-6.253103,106.850444
Pos Tanah Kusir,Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,,,12240,Jl. Ciputat Raya No.6,5,5,5,2,-6.250117,106.778127
Pos Kebayoran Baru,Jakarta Selatan,Kebayoran Baru,Kramat Pela,,,12130,Jl. Radio II Keramat Pela,6,5,5,1,-6.2476861,106.7940606
Pos Mampang Prapatan,Jakarta Selatan,Mampang Prapatan,Tegal Parang,,,12790,Jl. Kapten Tendean,6,6,5,1,-6.24026,106.82533
Pos Cipulir,Jakarta Selatan,Pesanggrahan,Cipulir,,,12230,Jl. Ciledug Raya,5,5,5,1,-6.2376311,106.7625574
Pos Grogol Utara,Jakarta Selatan,Kebayoran Lama,Grogol Utara,,,12210,Jl. Raya Kebayoran Lama,5,4,5,2,-6.221994,106.7796431
Pos Casablanca,Jakarta Selatan,Setiabudi,Menteng Atas,,,12960,Jl. Menteng Pulo No. 46,6,6,6,1,-6.221278,106.842436
Kantor Sudin Jakarta Selatan,Jakarta Selatan,,,,,,Jl.  Raya Pasar Jum'at,41,43,45,30,,
Pos Cipete,Jakarta Selatan,,,,,,Jl. Melati Raya,6,6,6,1,,
Pos Tebet,Jakarta Selatan,,,,,,"Jl. Sugiono, SH",15,15,15,3,,
Pos Diklatkar,Jakarta Timur,Ciracas,Kelapa Dua Wetan,,,13730,Jl. Raya Ciracas No.113,4,4,4,2,-6.3281109,106.8816699
Pos Kramat Jati,Jakarta Timur,Ciracas,Susukan,,,13750,Jl. Raya Bogor,4,4,4,1,-6.327814,106.881281
Pos Taman Mini,Jakarta Timur,Cipayung,Lubang Buaya,,,13810,Jl. Taman Mini II No.3,3,4,3,6,-6.2967,106.891552
Kantor Sektor,Jakarta Timur,Kramat Jati,Batu Ampar,,,13520,Jl. Poncol,7,8,8,4,-6.2895448,106.8588643
