nama_pos_pemadam,kotamadya,alamat,keterangan,jumlah
"Pos Cipulir","Jakarta Selatan","JL. Ciledug Raya - Cipulir - Kebakyoyan Lama","Personil - Group C","5"
"Pos Cipete","Jakarta Selatan","JL. Melati Raya - Cipete Utara - Kebayoran Baru","Personil - Group C","6"
"Pos Fatmawati","Jakarta Selatan","JL. RS. Fatmawati - Cilandak Barat - Cilandak","Personil - Group C","5"
"Pos Tebet","Jakarta Selatan","JL. Sugiono, SH - Tebet - Tebet","Personil - Group C","15"
"Pos Casablanca","Jakarta Selatan","JL. Raya Casablanca - Menteng Atas - Setia Budi","Personil - Group C","6"
"Pos Kalibata","Jakarta Selatan","JL. Taman Makam Pahlawan - Kalibata -","Personil - Group C","6"
"Kantor Sektor Pasar Minggu","Jakarta Selatan","Jl. Salihara","Personil - Group C","10"
"Pos Pasar Minggu","Jakarta Selatan","Jl. Lenteng Agung","Personil - Group C","5"
"Pos Pejaten","Jakarta Selatan","Jl. Pejaten Raya","Personil - Group C","5"
"Kantor Sektor Jagakarsa","Jakarta Selatan","Jl. M. Kahfi 1 - Jagakarsa - Jagakarsa","Personil - Group C","6"
"Pos Srengseng Sawah","Jakarta Selatan","Jl. Raya Srengseng Sawah - Srengseng Sawah - Jagakarsa","Personil - Group C","5"
"Pos Ciganjur","Jakarta Selatan","Jl. Brigif","Personil - Group C","4"
"Kantor Sudin Jakarta Timur","Jakarta Timur","Jl. Matraman Raya","Personil - Group C","16"
"Pos Utan Kayu","Jakarta Timur","Jl. Pengayoman","Personil - Group C","3"
"Pos Kayu Putih","Jakarta Timur","Jl. Pulo Mas Barat","Personil - Group C","4"
"Pos Cipinang","Jakarta Timur","Jl. Ps. Induk Cipinang","Personil - Group C","4"
"Sektor Pemuda","Jakarta Timur","Jl. Pemuda","Personil - Group C","8"
"Kantor Sektor","Jakarta Timur","Jl. Cakung Barat","Personil - Group C","8"
"Pos Walikota JT","Jakarta Timur","Jl. Primer","Personil - Group C","12"
"Pos Cipinang Cimpedak","Jakarta Timur","Jl. Kebon Nanas","Personil - Group C","8"
"Kantor Sektor","Jakarta Timur","Jl. Saluran Inspeksi Kalimalang","Personil - Group C","9"
"Pos Duren Sawit","Jakarta Timur","Jl. Swadaya","Personil - Group C","4"
"Pos Klender/Malaka ","Jakarta Timur","Jl. Bunga Rampai","Personil - Group C","3"
"Kantor Sektor Makassar","Jakarta Timur","Jl. Kamboja","Personil - Group C","8"
"Pos Batu Ampar","Jakarta Timur","Jl. Batu Ampar","Personil - Group C","8"
"Kantor Sektor","Jakarta Timur","Jl. Poncol","Personil - Group C","8"
"Pos Kramat Jati","Jakarta Timur","Jl. Raya Bogor","Personil - Group C","4"
"Pos Cipayung","Jakarta Timur","Jl. Raya Hankam","Personil - Group C","4"
"Pos Taman Mini","Jakarta Timur","Komplek Taman Mini Indonesia Indah","Personil - Group C","3"
"Pos Diklatkar","Jakarta Timur","Jl. Raya Ciracas No.113","Personil - Group C","4"
"Pos Pulau Karya","Kabupaten Kepulauan Seribu","Pulau Karya Kepulauan seribu","Personil - Group C","11"
"Kantor Sudin Jakarta Pusat","Jakarta Pusat","Jl. KH. Zainul Arifin No.71 Jakarta Pusat","Kendaraan","22"
"Pos Jati Baru","Jakarta Pusat","Jl. Taman Jati Baru","Kendaraan","1"
"Pos Setneg","Jakarta Pusat","Jl. Veteran","Kendaraan","1"
"Pos Balaikota","Jakarta Pusat","Jl. Medan Merdeka Selatan","Kendaraan","1"
"Pos Walikota JP","Jakarta Pusat","Jl. Tanah Abang 1","Kendaraan","1"
"Pos Tanah Abang","Jakarta Pusat","Jl. Fachrudin","Kendaraan","1"
"Pos Kebon Melati","Jakarta Pusat","Jl. H. Awaludin Kel. Kebon Melati","Kendaraan","2"
"Pos Karet","Jakarta Pusat","Jl. Penjernihan Raya Kel. Bendungan Hilir","Kendaraan","2"
"Pos Bungur","Jakarta Pusat","Jl. Bungur Besar Raya Kel. Bungur","Kendaraan","2"
"Pos MPR/DPR","Jakarta Pusat","Jl. Gatot Subroto","Kendaraan","3"
"Pos TIM","Jakarta Pusat","Jl. Cikini Raya","Kendaraan","4"
"Sektor Cempaka Putih","Jakarta Pusat","Jl. Perkantoran Rawa Kerbau","Kendaraan","4"
"Pos Cempaka Putih","Jakarta Pusat","Jl. Cempaka Putih Barat Kel. Cempaka Putih","Kendaraan","2"
"Pos Johar Baru","Jakarta Pusat","JL. Johar Baru Utara Kel. Johar Baru","Kendaraan","4"
"Sektor Kemayoran","Jakarta Pusat","Jl. Angkasa Pura Kel. Kemayoran","Kendaraan","8"
"Pos Serdang","Jakarta Pusat","Jl. Lap Pors","Kendaraan","2"
"Sektor  Mangga Dua Selatan","Jakarta Pusat","Jl. Mangga Dua Dalam Kel. Mangga Dua Selatan","Kendaraan","5"
"Pos Pasar Baru","Jakarta Pusat","Jl. Lautze","Kendaraan","2"
"Kantor Sudin Jakarta Utara","Jakarta Utara","JL. Pemadam Kebakaran No. 113, Kel. Semper Barat, Kec. Cilincing","Kendaraan","13"
"Pos Kali Baru","Jakarta Utara","JL.Kosambi Kalibaru Kec. Cilincing","Kendaraan","1"
"Pos Rorotan","Jakarta Utara","Jl. Pinus Raya","Kendaraan","1"
"Pos Gading Griya","Jakarta Utara","Jl. Blimbing","Kendaraan","1"
"Sektor 2 ( Koja)","Jakarta Utara","JL. Anggrrek No. 1, Kel. Rawa Badak, Kec. Koja","Kendaraan","6"
"Pos Gaya Motor","Jakarta Utara","JL. Gaya Motor Kel. Sunter, Kec. Tanjung Priok","Kendaraan","1"
"Pos Podomoro","Jakarta Utara","JL. Agung Podomoro Kel. Sunter, Kec. Tanjung Priok","Kendaraan","3"
"Pos Kelapa Gading","Jakarta Utara","JL. Pelepah Indah LC 3, Kel. Kelapa  Gading Barat, Kec. Kelapa Gading","Kendaraan","2"
"Sektor  IV (Kelapa Gading)","Jakarta Utara","Jl. Komp. HI, Kel. Kelapa Gading Timur, Kec. Kelapa Gading","Kendaraan","4"
"Pos Pegangsaan Dua","Jakarta Utara","JL. Pegangsaan Dua,  Kel. Pegangsaan Dua, Kec. Kelapa Gading","Kendaraan","1"
"Pos Pademangan Barat","Jakarta Utara","JL. Budi Mulya, Kel. Pademangan Barat, Kec. Pademangan","Kendaraan","1"
"Pos Pademangan Timur","Jakarta Utara","Jl. Pademangan IX","Kendaraan","1"
"Sektor  Ancol","Jakarta Utara","Jl. Ancol Barat","Kendaraan","3"
"Pos Binaria","Jakarta Utara","JL. Lodan Timur V, Kel. Ancol, Kec. Pademangan","Kendaraan","1"
"Pos Pluit","Jakarta Utara","JL. Pluit Barat Terusan, Kel. Pluit, Kec. Penjaringann","Kendaraan","4"
"Pos Muara Angke","Jakarta Utara","JL. Dermaga Pelabuhan, Kel. Pluit, Kec. Penjaringan","Kendaraan","1"
"Pos Teluk Gong","Jakarta Utara","JL. Taman Permata Indah, Kel. Pejagalan, Kec. Penjaringan","Kendaraan","2"
"Pos Muara Baru","Jakarta Utara","Jl. Pelabuhan Perikanan","Kendaraan","2"
"Pos Penjaringan","Jakarta Utara","Jl.Jln. Tanah Merah. Kec. Penjaringan","Kendaraan","2"
"Kantor Sudin Jakarta Barat","Jakarta Barat","Jl. Tanjung Duren Raya No. 1","Kendaraan","15"
"Kantor Sektor I","Jakarta Barat","Jl. Perdana, Kel. Jelambar","Kendaraan","6"
"Pos Duta Mas","Jakarta Barat","Jl. Wijaya, Komp. Duta Mas","Kendaraan","1"
"Kantor Sektor III","Jakarta Barat","Jl. Tiang Bendera I No. 1, Roa Malaka","Kendaraan","6"
"Pos Krendang","Jakarta Barat","Jl. Krendang Utara","Kendaraan","1"
"Pos Angke","Jakarta Barat","Jl. Angke Indah Raya No. 25 A","Kendaraan","1"
"Kantor Sektor IV","Jakarta Barat","Jl. Kemukus, Kel. Pinangsia","Kendaraan","6"
"Pos Lokasari","Jakarta Barat","Jl. Mangga Besar VII","Kendaraan","1"
"Kantor Sektor V","Jakarta Barat","Jl. Kebon Jeruk Baru Blok C","Kendaraan","3"
"Pos Keb. Jeruk Lama","Jakarta Barat","Jl. C, Kel. Kelapa Dua","Kendaraan","1"
"Kantor Sektor VI","Jakarta Barat","Jl. Raya Kembangan","Kendaraan","3"
"Pos Joglo","Jakarta Barat","Komp. Pemadam, Jl. Raya Joglo","Kendaraan","1"
"Pos Puri Indah","Jakarta Barat","Komp. Puri Indah, Jl. Puri Sakti","Kendaraan","1"
"Kantor Sektor VII","Jakarta Barat","Komp. Palem Lestari","Kendaraan","5"
"Pos Cengkareng","Jakarta Barat","Jl. Cendrawasih, Kel. Cengkareng Barat","Kendaraan","1"
"Pos Rawa Buaya","Jakarta Barat","Jl. Hikmah, Kel. Rawa Buaya","Kendaraan","1"
"Pos Kresek","Jakarta Barat","Jl. Nusa Indah, Kel. Duri Kosambi","Kendaraan","1"
"Kantor Sektor VIII","Jakarta Barat","JL. Komp. Perumahan Citra Garden V","Kendaraan","3"
"Pos Citra I","Jakarta Barat","Jl. Perum Citra Garden I kel. Pegadungan","Kendaraan","1"
"Pos Citra II","Jakarta Barat","Jl. Komp. Citra Garden 2","Kendaraan","1"
"Kantor Sudin Jakarta Selatan","Jakarta Selatan","JL.  Raya Pasar Jum'at - Pd. Pinang - Kebayoran Lama","Kendaraan","30"
"Pos Kebayoran Baru","Jakarta Selatan","JL. Radio II Keramat Pela - Kebayoran Baru","Kendaraan","1"
"Pos Tanah Kusir","Jakarta Selatan","JL. Ciputat Raya - Kebayoran Lama  Utara - Kebayoran Lama","Kendaraan","2"
"Pos Grogol Utara","Jakarta Selatan","JL. Kebayoran Lama - Grogol Utara - Kebayoran Lama","Kendaraan","2"
"Pos Mampang Prapatan","Jakarta Selatan","JL. Kapten Tendean - Kuningan Barat - Mampang Prapatan","Kendaraan","1"
"Pos Walikota","Jakarta Selatan","JL. Prapanca Raya - Petogogan - Kebayoran Baru","Kendaraan","2"
"Kantor Sektor Pesanggrahan","Jakarta Selatan","JL. Saidi - Pesanggrahan - Pesanggrahan","Kendaraan","3"
"Pos Cipulir","Jakarta Selatan","JL. Ciledug Raya - Cipulir - Kebakyoyan Lama","Kendaraan","1"
"Pos Cipete","Jakarta Selatan","JL. Melati Raya - Cipete Utara - Kebayoran Baru","Kendaraan","1"
"Pos Fatmawati","Jakarta Selatan","JL. RS. Fatmawati - Cilandak Barat - Cilandak","Kendaraan","1"
"Pos Tebet","Jakarta Selatan","JL. Sugiono, SH - Tebet - Tebet","Kendaraan","3"
"Pos Casablanca","Jakarta Selatan","JL. Raya Casablanca - Menteng Atas - Setia Budi","Kendaraan","1"
"Pos Kalibata","Jakarta Selatan","JL. Taman Makam Pahlawan - Kalibata -","Kendaraan","2"
"Kantor Sektor Pasar Minggu","Jakarta Selatan","Jl. Salihara","Kendaraan","5"
"Pos Pasar Minggu","Jakarta Selatan","Jl. Lenteng Agung","Kendaraan","2"
"Pos Pejaten","Jakarta Selatan","Jl. Pejaten Raya","Kendaraan","1"
"Kantor Sektor Jagakarsa","Jakarta Selatan","Jl. M. Kahfi 1 - Jagakarsa - Jagakarsa","Kendaraan","4"
"Pos Srengseng Sawah","Jakarta Selatan","Jl. Raya Srengseng Sawah - Srengseng Sawah - Jagakarsa","Kendaraan","2"
"Pos Ciganjur","Jakarta Selatan","Jl. Brigif","Kendaraan","1"
"Kantor Sudin Jakarta Timur","Jakarta Timur","Jl. Matraman Raya","Kendaraan","10"
"Pos Utan Kayu","Jakarta Timur","Jl. Pengayoman","Kendaraan","1"
"Pos Kayu Putih","Jakarta Timur","Jl. Pulo Mas Barat","Kendaraan","1"
"Pos Cipinang","Jakarta Timur","Jl. Ps. Induk Cipinang","Kendaraan","1"
"Sektor Pemuda","Jakarta Timur","Jl. Pemuda","Kendaraan","5"
"Kantor Sektor","Jakarta Timur","Jl. Cakung Barat","Kendaraan","5"
"Pos Walikota JT","Jakarta Timur","Jl. Primer","Kendaraan","4"
"Pos Cipinang Cimpedak","Jakarta Timur","Jl. Kebon Nanas","Kendaraan","4"
"Kantor Sektor","Jakarta Timur","Jl. Saluran Inspeksi Kalimalang","Kendaraan","6"
"Pos Duren Sawit","Jakarta Timur","Jl. Swadaya","Kendaraan","1"
"Pos Klender/Malaka ","Jakarta Timur","Jl. Bunga Rampai","Kendaraan","1"
"Kantor Sektor Makassar","Jakarta Timur","Jl. Kamboja","Kendaraan","4"
"Pos Batu Ampar","Jakarta Timur","Jl. Batu Ampar","Kendaraan","4"
"Kantor Sektor","Jakarta Timur","Jl. Poncol","Kendaraan","4"
"Pos Kramat Jati","Jakarta Timur","Jl. Raya Bogor","Kendaraan","1"
"Pos Cipayung","Jakarta Timur","Jl. Raya Hankam","Kendaraan","1"
"Pos Taman Mini","Jakarta Timur","Komplek Taman Mini Indonesia Indah","Kendaraan","6"
"Pos Diklatkar","Jakarta Timur","Jl. Raya Ciracas No.113","Kendaraan","2"
"Pos Pulau Karya","Kabupaten Kepulauan Seribu","Pulau Karya Kepulauan seribu","Kendaraan","4"
