nama_pos_pemadam,kotamadya,alamat,keterangan,jumlah
"Kantor Sudin Jakarta Selatan","Jakarta Selatan","JL.  Raya Pasar Jum'at - Pd. Pinang - Kebayoran Lama","Personil - Group A","41"
"Pos Kebayoran Baru","Jakarta Selatan","JL. Radio II Keramat Pela - Kebayoran Baru","Personil - Group A","6"
"Pos Tanah Kusir","Jakarta Selatan","JL. Ciputat Raya - Kebayoran Lama  Utara - Kebayoran Lama","Personil - Group A","5"
"Pos Grogol Utara","Jakarta Selatan","JL. Kebayoran Lama - Grogol Utara - Kebayoran Lama","Personil - Group A","5"
"Pos Mampang Prapatan","Jakarta Selatan","JL. Kapten Tendean - Kuningan Barat - Mampang Prapatan","Personil - Group A","6"
"Pos Walikota","Jakarta Selatan","JL. Prapanca Raya - Petogogan - Kebayoran Baru","Personil - Group A","5"
"Kantor Sektor Pesanggrahan","Jakarta Selatan","JL. Saidi - Pesanggrahan - Pesanggrahan","Personil - Group A","7"
"Pos Cipulir","Jakarta Selatan","JL. Ciledug Raya - Cipulir - Kebakyoyan Lama","Personil - Group A","5"
"Pos Cipete","Jakarta Selatan","JL. Melati Raya - Cipete Utara - Kebayoran Baru","Personil - Group A","6"
"Pos Fatmawati","Jakarta Selatan","JL. RS. Fatmawati - Cilandak Barat - Cilandak","Personil - Group A","5"
"Pos Tebet","Jakarta Selatan","JL. Sugiono, SH - Tebet - Tebet","Personil - Group A","15"
"Pos Casablanca","Jakarta Selatan","JL. Raya Casablanca - Menteng Atas - Setia Budi","Personil - Group A","6"
"Pos Kalibata","Jakarta Selatan","JL. Taman Makam Pahlawan - Kalibata -","Personil - Group A","6"
"Kantor Sektor Pasar Minggu","Jakarta Selatan","Jl. Salihara","Personil - Group A","10"
"Pos Pasar Minggu","Jakarta Selatan","Jl. Lenteng Agung","Personil - Group A","5"
"Pos Pejaten","Jakarta Selatan","Jl. Pejaten Raya","Personil - Group A","4"
